t0,beta,gamma,tr,ti,n,phim,s1,fval
16.677387, 1.839708, 0.300818, 2.000000, 5.0, 2701743.0,  0.046409, 0.008086, 146.013467
15.620843, 1.713789, 0.257476, 2.333333, 5.0, 2701743.0,  0.059081, 0.007946, 142.830439
17.534211, 1.499701, 0.225692, 2.666667, 5.0, 2701743.0,  0.064463, 0.007325, 141.446923
19.251459, 1.334008, 0.200031, 3.000000, 5.0, 2701743.0,  0.067168, 0.007022, 143.434733
21.600752, 1.201931, 0.178988, 3.333333, 5.0, 2701743.0,  0.067802, 0.007531, 148.122706
23.417914, 1.094039, 0.161404, 3.666667, 5.0, 2701743.0,  0.066971, 0.007377, 155.054552
26.581777, 1.003732, 0.147043, 4.000000, 5.0, 2701743.0,  0.053502, 0.008786, 164.257231
